feature,importance
duration,0.5045525994767814
poutcome_success,0.1594188667803666
month,0.12990978752897428
contact_unknown,0.10327773743901902
housing_yes,0.04356763877890402
day,0.03592927468539704
loan_yes,0.009446390865862337
pdays,0.0077733605887217215
age,0.0034343284089917003
balance,0.0014069676679150705
previous,0.0012830477790667994
education,0.0
campaign,0.0
job_blue-collar,0.0
job_retired,0.0
job_management,0.0
job_housemaid,0.0
job_entrepreneur,0.0
job_self-employed,0.0
job_services,0.0
job_student,0.0
job_technician,0.0
marital_single,0.0
marital_married,0.0
job_unknown,0.0
job_unemployed,0.0
contact_telephone,0.0
default_yes,0.0
poutcome_other,0.0
poutcome_unknown,0.0
